               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1025,            0.024183,                   0,           0.0023333,                 0.7,           0.0058322,          0.00082047,            0.076181,            0.011673,                   0,              0.0757,              0.0027,              0.0027
                   1,            0.067989,            0.020577,                   0,              0.3904,              0.5776,              0.3886,             0.18751,            0.054529,           0.0092583,                   0,            0.050489,           0.0054891,           0.0054891
                   2,            0.054761,            0.018045,                   0,             0.66438,             0.79245,             0.72126,             0.29221,            0.047567,           0.0076618,                   0,            0.025267,           0.0082671,           0.0082671
                   3,            0.049927,            0.014471,                   0,             0.94696,                 0.7,             0.79896,             0.42793,             0.04212,           0.0084667,                   0,           0.0099406,           0.0099406,           0.0099406
                   4,            0.044258,            0.011859,                   0,             0.71683,                 0.7,             0.79141,             0.47448,             0.04136,           0.0074263,                   0,           0.0099406,           0.0099406,           0.0099406
                   5,             0.04118,             0.01094,                   0,             0.70624,             0.72286,             0.79148,             0.37445,            0.040122,           0.0070515,                   0,           0.0099208,           0.0099208,           0.0099208
                   6,            0.038851,            0.010056,                   0,             0.81007,             0.85538,             0.84687,             0.57453,            0.031178,           0.0051317,                   0,            0.009901,            0.009901,            0.009901
                   7,            0.037917,           0.0096538,                   0,             0.88458,                 0.8,              0.8226,             0.50606,            0.036141,           0.0051546,                   0,           0.0098812,           0.0098812,           0.0098812
                   8,             0.03593,           0.0097418,                   0,             0.99289,                 0.8,             0.88495,             0.52764,            0.034421,           0.0050726,                   0,           0.0098614,           0.0098614,           0.0098614
                   9,            0.034296,           0.0087512,                   0,             0.87423,                 0.8,             0.82748,             0.60232,             0.02765,           0.0049582,                   0,           0.0098416,           0.0098416,           0.0098416
                  10,            0.033937,           0.0089799,                   0,             0.95994,                 0.9,             0.89661,              0.5152,              0.0333,           0.0050564,                   0,           0.0098218,           0.0098218,           0.0098218
                  11,            0.033883,           0.0087343,                   0,             0.90572,                 0.7,             0.77272,             0.28531,            0.045816,           0.0056973,                   0,            0.009802,            0.009802,            0.009802
